Sun Sep 06 17:17:40 CDT 2009,SORA,0,0,0.39228841911798873,1.2973914862037446,293.84795909393586,735
Sun Sep 06 17:18:25 CDT 2009,RANDOM,0,0,0.03368787075667241,1.1712597415921213,55.88325026693494,203
Sun Sep 06 17:18:37 CDT 2009,TEAM,39,34,0.007081275607183268,2.7220776143308263,39.96093167684867,353
Sun Sep 06 17:18:43 CDT 2009,DIRL,0,0,0.2977249665693674,1.0371284208587215,305.8136936670805,586
Sun Sep 06 17:19:01 CDT 2009,COIN,161,128,0.17193601322966987,0.7934982421977569,325.097691772837,488
Sun Sep 06 18:31:35 CDT 2009,COIN,161,125,0.14926015851620208,0.7493462896691379,321.50488626529767,504
Mon Sep 07 14:52:11 CDT 2009,SORA,0,0,0.4336685327120396,1.6687344072938222,198.89408503777773,691
Fri Sep 25 10:54:24 CDT 2009,SORA,0,0,0.31558974674430784,1.276414051234148,399.4523247415441,484
Fri Sep 25 10:54:57 CDT 2009,DIRL,0,0,0.1838663452783339,0.8951433087876295,148.49785754554048,361
Fri Sep 25 10:55:26 CDT 2009,TEAM,29,18,0.00988762456475453,2.6994038008493613,27.410428698659366,275
Fri Sep 25 10:55:34 CDT 2009,RANDOM,0,0,0.023215807340414445,1.1712597415921213,35.211861666427744,140
Fri Sep 25 10:55:35 CDT 2009,COIN,57,33,0.030999630249889953,0.4212316433597191,283.5708805178341,246
Fri Sep 25 15:52:01 CDT 2009,SORA,0,0,0.30071278543496205,1.215893715644177,361.9720833907007,514
Fri Sep 25 16:12:09 CDT 2009,DIRL,0,0,0.2432359567252355,1.1642222863173712,180.4234749900295,226
Fri Sep 25 16:12:13 CDT 2009,SORA,0,0,0.33932616872696797,1.4158615627095474,330.412360336178,216
Fri Sep 25 16:12:19 CDT 2009,RANDOM,0,0,0.020785409307928868,1.1712597415921213,37.73456189193575,131
Fri Sep 25 16:13:11 CDT 2009,TEAM,32,22,0.024690915127232,3.4626412107303204,21.518735267499313,114
Fri Sep 25 16:13:15 CDT 2009,COIN,58,32,0.026014779720974195,0.5271574508863798,155.2072746507098,149
Fri Sep 25 18:10:48 CDT 2009,SORA,0,0,0.390150100953855,1.2859299187882076,NaN,676
Fri Sep 25 18:11:45 CDT 2009,DIRL,0,0,0.2550687892451368,1.0045236474407504,NaN,633
Fri Sep 25 18:12:18 CDT 2009,TEAM,7,7,0.034940336700653114,3.318469972072354,NaN,201
Fri Sep 25 18:12:18 CDT 2009,RANDOM,0,0,0.034289126056734974,1.1712597415921213,NaN,241
Fri Sep 25 18:12:42 CDT 2009,COIN,46,27,0.10887116219458434,0.5646061126199888,NaN,429
Sun Sep 27 14:50:23 CDT 2009,DIRL,0,0,0.3576026387657432,1.2399946634924408,316.29037386534,718
Sun Sep 27 14:50:32 CDT 2009,SORA,0,0,0.3838019753467873,1.1943677187149682,508.49890767606075,757
Sun Sep 27 14:51:18 CDT 2009,RANDOM,0,0,0.034289126056734974,1.1712597415921213,63.73981095231608,241
Sun Sep 27 14:51:27 CDT 2009,COIN,225,170,0.18103415260900022,0.7785205379490185,434.5921704953362,639
Sun Sep 27 14:51:40 CDT 2009,TEAM,155,144,0.16634261090495045,2.4947770835564644,123.73696481762173,570
Sun Sep 27 15:04:24 CDT 2009,SORA,0,0,0.33107969964983996,1.2681286128682498,395.3289828444079,220
Sun Sep 27 15:04:47 CDT 2009,DIRL,0,0,0.2146416353342529,0.9402414571709264,204.29327761481545,210
Sun Sep 27 15:05:47 CDT 2009,RANDOM,0,0,0.023215807340414445,1.1712597415921213,35.211861666427744,114
Sun Sep 27 15:05:56 CDT 2009,TEAM,94,64,0.03902335859431876,2.1941359242997334,27.751621974347067,121
Sun Sep 27 15:06:02 CDT 2009,COIN,78,49,0.019151281168818913,0.46537248485988586,153.426677193181,134
Sun Sep 27 15:41:55 CDT 2009,DIRL,0,0,0.1727838106875454,0.9728298580111768,105.03276646435032,185
Sun Sep 27 15:42:10 CDT 2009,SORA,0,0,0.3076173364675021,1.3641760442520448,174.34879812650914,223
Sun Sep 27 15:42:53 CDT 2009,COIN,178,157,0.1700781395581629,0.8570648309175398,93.38099262803478,207
Sun Sep 27 15:42:57 CDT 2009,TEAM,43,31,0.04457036240810702,3.4646242790572925,13.095916096850654,94
Sun Sep 27 15:42:58 CDT 2009,RANDOM,0,0,0.02433998860780693,1.1712597415921213,17.366247801483574,114
Sun Sep 27 16:08:48 CDT 2009,TEAM,37,25,0.03456511114567861,3.251564678231281,13.703564632488252,94
Sun Sep 27 16:09:50 CDT 2009,DIRL,0,0,0.21860650674257706,0.9949984351306157,129.88379418898592,207
Sun Sep 27 16:10:10 CDT 2009,RANDOM,0,0,0.02433998860780693,1.1712597415921213,17.366247801483574,114
Sun Sep 27 16:10:23 CDT 2009,COIN,104,91,0.08771786413745264,0.6223105905354167,127.52968617307964,159
Sun Sep 27 16:10:39 CDT 2009,SORA,0,0,0.3640767500683389,1.6193339238087996,142.1704026335671,227
Sun Sep 27 17:08:26 CDT 2009,RANDOM,RewardUpdates=0,positiveUpdates=0,effectiveCost=0.023215807340414445,totalCost=1.1712597415921213,globalReward=31.66823132838449, noOfTracks=140
Sun Sep 27 17:08:58 CDT 2009,COIN,RewardUpdates=58,positiveUpdates=26,effectiveCost=0.06557458429192918,totalCost=0.5698625417580881,globalReward=254.7916470821642, noOfTracks=269
Sun Sep 27 17:09:01 CDT 2009,TEAM,RewardUpdates=76,positiveUpdates=51,effectiveCost=0.10034525282292803,totalCost=2.685566928685962,globalReward=45.51720000398461, noOfTracks=237
Sun Sep 27 17:16:01 CDT 2009,SORA,RewardUpdates=0,positiveUpdates=0,effectiveCost=0.3154278670216734,totalCost=1.5036446019190013,globalReward=153.70106256325496, noOfTracks=483
Sun Sep 27 17:16:01 CDT 2009,DIRL,RewardUpdates=0,positiveUpdates=0,effectiveCost=0.21266735538709725,totalCost=0.9569030461486334,globalReward=140.95107429005347, noOfTracks=387
Sun Sep 27 17:16:55 CDT 2009,COIN,RewardUpdates=65,positiveUpdates=29,effectiveCost=0.011806278025350054,totalCost=0.45541263103102125,globalReward=187.39299930730218, noOfTracks=234
Sun Sep 27 17:17:19 CDT 2009,RANDOM,RewardUpdates=0,positiveUpdates=0,effectiveCost=0.023215807340414445,totalCost=1.1712597415921213,globalReward=31.66823132838449, noOfTracks=140
Sun Sep 27 17:17:20 CDT 2009,TEAM,RewardUpdates=99,positiveUpdates=62,effectiveCost=0.024947580504012936,totalCost=2.7639213353396483,globalReward=31.153094186308046, noOfTracks=247
